CMDLINE /home/yahya/.virtualenvs/cv3/bin/python2 koli_for_image.py
MEM 1928.667969 1511579032.8370
MEM 1928.667969 1511579032.9374
MEM 2114.679688 1511579033.0378
MEM 2338.585938 1511579033.1383
MEM 2278.300781 1511579033.2387
MEM 1079.785156 1511579033.3391
MEM 1079.785156 1511579033.4394
MEM 1079.785156 1511579033.5398
MEM 1079.785156 1511579033.6402
MEM 1345.789062 1511579033.7405
MEM 1471.789062 1511579033.8409
MEM 1471.789062 1511579033.9413
MEM 1803.796875 1511579034.0417
MEM 1863.605469 1511579034.1422
MEM 1863.605469 1511579034.2427
MEM 2265.179688 1511579034.3431
MEM 2386.988281 1511579034.4437
MEM 2458.816406 1511579034.5441
MEM 1079.785156 1511579034.6444
MEM 1079.785156 1511579034.7449
MEM 1079.785156 1511579034.8452
MEM 1079.785156 1511579034.9457
MEM 1471.789062 1511579035.0462
MEM 1471.789062 1511579035.1466
MEM 1541.789062 1511579035.2470
MEM 1863.792969 1511579035.3474
MEM 1927.738281 1511579035.4480
MEM 1978.433594 1511579035.5483
MEM 2326.316406 1511579035.6489
MEM 2070.050781 1511579035.7493
MEM 1135.660156 1511579035.8498
MEM 1135.660156 1511579035.9501
MEM 1135.660156 1511579036.0505
MEM 1135.660156 1511579036.1516
MEM 1275.664062 1511579036.2520
MEM 1527.664062 1511579036.3525
MEM 1527.664062 1511579036.4530
MEM 1769.671875 1511579036.5534
MEM 1919.480469 1511579036.6539
MEM 1919.480469 1511579036.7544
MEM 2168.679688 1511579036.8548
MEM 2320.570312 1511579036.9553
MEM 2316.304688 1511579037.0559
MEM 1120.160156 1511579037.1563
MEM 1120.160156 1511579037.2566
MEM 1120.160156 1511579037.3570
MEM 1120.160156 1511579037.4574
MEM 1436.164062 1511579037.5578
MEM 1512.164062 1511579037.6582
MEM 1512.164062 1511579037.7587
MEM 1904.167969 1511579037.8592
MEM 1968.113281 1511579037.9598
MEM 1968.113281 1511579038.0603
MEM 2359.929688 1511579038.1608
MEM 1968.171875 1511579038.2614
MEM 1135.660156 1511579038.3617
MEM 1135.660156 1511579038.4621
MEM 1135.660156 1511579038.5625
MEM 1135.660156 1511579038.6628
MEM 1155.660156 1511579038.7632
MEM 1527.664062 1511579038.8639
MEM 1527.664062 1511579038.9643
MEM 1665.671875 1511579039.0647
MEM 1919.480469 1511579039.1651
MEM 1919.480469 1511579039.2656
MEM 2057.679688 1511579039.3660
MEM 2329.652344 1511579039.4668
MEM 2169.304688 1511579039.5672
